"f_stop_max","lens_type","f_stop_min","lens_mount","dp_review_link","focal_length","dp_lens_detail_link","year_released","lens_brand","msrp","msrp__002","lens_name"
"F2.8","Prime lens","F22","Canon EF, Nikon F (FX)","null","18 ","https://www.dpreview.com/products/zeiss/lenses/zeiss_milvus_18_2p8","","Zeiss","","","Zeiss Milvus 18mm F2.8"
"F2.8","Prime lens","F22","Canon EF, Nikon F (FX)","null","15 ","https://www.dpreview.com/products/zeiss/lenses/zeiss_milvus_15_2p8","","Zeiss","","","Zeiss Milvus 15mm F2.8"
"F2.4","Prime lens","F22","Sony FE","null","85 ","https://www.dpreview.com/products/zeiss/lenses/zeiss_loxia_85_2p4","Sep 15, 2016","Zeiss","","","Zeiss Loxia 85mm F2.4"
"F1.4","Prime lens","F16","Canon EF, Nikon F (FX)","null","55 ","https://www.dpreview.com/products/zeiss/lenses/zeiss_otus_55_1p4","","Zeiss","3,229.00 ","3,990.00","Zeiss Otus 1.4/55"
"F2.8","Prime lens","F22","Sony E","null","21 ","https://www.dpreview.com/products/zeiss/lenses/zeiss_loxia_21_2p8","Oct 12, 2015","Zeiss","1,424.00","","Zeiss Loxia 21mm F2.8"
"F2","Prime lens","F22","Sony FE","null","35 ","https://www.dpreview.com/products/zeiss/lenses/zeiss_loxia_35_2","","Zeiss","","","Zeiss Loxia 35mm F2"
"F2.8","Prime lens","F22","Sony FE","null","","https://www.dpreview.com/products/zeiss/lenses/zeiss_batis_135_2p8","","Zeiss","1,899.00","","Zeiss Batis 135mm F2.8"
"F2","Prime lens","F22","Sony FE","null","25 ","https://www.dpreview.com/products/zeiss/lenses/zeiss_batis_25_2","Apr 22, 2015","Zeiss","1,199.00","","Zeiss Batis 25mm F2"
"F1","Prime lens","F16","Micro Four Thirds","null","43 ","https://www.dpreview.com/products/voigtlander/lenses/voigtlander_42p5_0p95_m43","","Voigtlander","769.99 ","825.52","Voigtlander Nokton 42.5mm F0.95"
"F2.8","Prime lens","F22","Sony E","null","18 ","https://www.dpreview.com/products/zeiss/lenses/zeiss_batis_18_2p8","Apr 14, 2016","Zeiss","","","Zeiss Batis 18mm F2.8"
"F1.8","Prime lens","F22","Sony FE","null","85 ","https://www.dpreview.com/products/zeiss/lenses/zeiss_batis_85_1p8","Apr 22, 2015","Zeiss","1,079.00","","Zeiss Batis 85mm F1.8"
"F2.8","Prime lens","F22","Sony E, Sony FE","null","40 ","https://www.dpreview.com/products/voigtlander/lenses/voigtlander_40mm_2p8_heliar","Sep 24, 2014","Voigtlander","399.00","","Voigtlander VM 40mm F2.8 Heliar"
"F1","Prime lens","F16","Micro Four Thirds","null","25 ","https://www.dpreview.com/products/voigtlander/lenses/voigtlander_25_0p95_m43","Aug 26, 2010","Voigtlander","764.71","","Voigtlander Nokton 25mm F0.95"
"F3.5","Prime lens","F22","Canon EF, Nikon F (FX), Pentax KAF","null","90 ","https://www.dpreview.com/products/voigtlander/lenses/voigtlander_90_3p5_slii","Feb 17, 2010","Voigtlander","589.00","","Voigtlander 90mm F3.5 APO-Lanthar SL II"
"F1","Prime lens","F16","Micro Four Thirds","null","25 ","https://www.dpreview.com/products/voigtlander/lenses/voigtlander_25_0p95_m43_ii","Feb 12, 2014","Voigtlander","689.00 ","799.00","Voigtlander Nokton 25mm F0.95 Type II"
"F2","Prime lens","F22","Sony E, Sony FE","null","65 ","https://www.dpreview.com/products/voigtlander/lenses/voigtlander_65_2_macro","","Voigtlander","","","Voigtlander 65mm F2 Macro APO-Lanthar"
"F1","Prime lens","F16","Micro Four Thirds","null","18 ","https://www.dpreview.com/products/voigtlander/lenses/voigtlander_17p5_0p95_m43","","Voigtlander","890.00","","Voigtlander Nokton 17.5mm F0.95 Aspherical"
"F1.8","Prime lens","F16","Leica M","null","75 ","https://www.dpreview.com/products/voigtlander/lenses/voigtlander_75_1p8","","Voigtlander","964.10","","Voigtlander 75mm F1.8 Heliar Classic"
"F1.5","Prime lens","F16","Leica M","null","50 ","https://www.dpreview.com/products/voigtlander/lenses/voigtlander_50_1p5","Jan 28, 2013","Voigtlander","779.00","","Voigtlander 50mm F1.5 Nokton"
"F1.4","Prime lens","F16","Nikon F (FX), Pentax KAF","null","58 ","https://www.dpreview.com/products/voigtlander/lenses/voigtlander_58_1p4_slii","","Voigtlander","489.00","","Voigtlander 58mm F1.4 Nokton SL II"
"F1.1","Prime lens","F16","Leica M","null","50 ","https://www.dpreview.com/products/voigtlander/lenses/voigtlander_50_1p1","","Voigtlander","899.00","","Voigtlander 50mm F1.1 Nokton"
"F2","Prime lens","F22","Canon EF, Nikon F (FX), Pentax KAF","null","40 ","https://www.dpreview.com/products/voigtlander/lenses/voigtlander_40_2_slii","","Voigtlander","449.00 ","530.00","Voigtlander 40mm F2 Ultron SL II"
"F1.4","Prime lens","F16","Leica M","null","40 ","https://www.dpreview.com/products/voigtlander/lenses/voigtlander_40_1p4","","Voigtlander","408.93 ","417.00","Voigtlander 40mm F1.4 Nokton Classic"
"F2.5","Prime lens","F22","Leica M","null","35 ","https://www.dpreview.com/products/voigtlander/lenses/voigtlander_35_2p5","","Voigtlander","409.00","","Voigtlander 35mm F2.5 Color Skopar"
"F1.2","Prime lens","F22","Leica M","null","35 ","https://www.dpreview.com/products/voigtlander/lenses/voigtlander_35_1p2","","Voigtlander","999.00","","Voigtlander 35mm F1.2 Nokton"
"F2","Prime lens","F22","Leica M","null","28 ","https://www.dpreview.com/products/voigtlander/lenses/voigtlander_28_2","","Voigtlander","565.46 ","599.00","Voigtlander 28mm F2 Ultron"
"F4","Prime lens","F22","Leica M","null","21 ","https://www.dpreview.com/products/voigtlander/lenses/voigtlander_21_4_ii","","Voigtlander","419.00","","Voigtlander 21mm F4 Color Skopar Pancake II"
"F1","Prime lens","F16","Micro Four Thirds","null","11 ","https://www.dpreview.com/products/voigtlander/lenses/voigtlander_10p5_0p95","Sep 14, 2014","Voigtlander","999.99","","Voigtlander 10.5mm F0.95 Nokton"
"F4","Prime lens","F22","Leica M","null","25 ","https://www.dpreview.com/products/voigtlander/lenses/voigtlander_25_4","","Voigtlander","419.00","","Voigtlander 25mm F4 Color Skopar Pancake"
"F2","Prime lens","F22","Sony FE","null","15 ","https://www.dpreview.com/products/venus/lenses/venus_laowa_15_f2","Sep 13, 2016","Venus Optics","","","Venus Optics Laowa 15mm F2 FE Zero-D"
"F2.8","Prime lens","F22","Canon EF, Nikon F (FX)","null","28 ","https://www.dpreview.com/products/voigtlander/lenses/voigtlander_28_2p8_slii","Jul 16, 2012","Voigtlander","","","Voigtlander 28mm F2.8 Color Skopar SL II"
"F1.8","Prime lens","F22","Leica M","null","21 ","https://www.dpreview.com/products/voigtlander/lenses/voigtlander_21_1p8","Sep 17, 2012","Voigtlander","1,049.00","","Voigtlander 21mm F1.8 Ultron"
"F2.8","Prime lens","F22","Canon EF, Nikon F (FX), Sony/Minolta Alpha, Sony FE","null","12 ","https://www.dpreview.com/products/venus/lenses/venus_laowa_12mm_2p8","Jul 26, 2016","Venus Optics","","","Venus Laowa 12mm F2.8"
