"f_stop_max","lens_type","f_stop_min","lens_mount","dp_review_link","focal_length","dp_lens_detail_link","year_released","lens_brand","msrp","msrp__002","lens_name"
"F4–5.6","Zoom lens","F22","Micro Four Thirds","null","100–300 ","https://www.dpreview.com/products/panasonic/lenses/panasonic_100-300_4-5p6","Sep 21, 2010","Panasonic","439.99 ","597.99","Panasonic Lumix G Vario 100-300mm F4-5.6 OIS"
"F4–5.6","Zoom lens","F22","Micro Four Thirds","null","35–100 ","https://www.dpreview.com/products/panasonic/lenses/panasonic_35-100_4-5p6_ois","Sep 15, 2014","Panasonic","197.99 ","697.95","Panasonic Lumix G Vario 35-100mm F4.0-5.6 ASPH Mega OIS"
"F3.5–5.6","Zoom lens","F22","Micro Four Thirds","null","14–140 ","https://www.dpreview.com/products/panasonic/lenses/panasonic_14-140_3p5-5p6","Apr 24, 2013","Panasonic","501.81","","Panasonic Lumix G Vario 14-140mm F3.5-5.6 ASPH. / Power O.I.S"
"F3.5–5.6","Zoom lens","F22","Micro Four Thirds","null","14–45 ","https://www.dpreview.com/products/panasonic/lenses/panasonic_14-45_3p5-5p6","Sep 12, 2008","Panasonic","209.31 ","299.95","Panasonic Lumix G Vario 14-45mm F3.5-5.6 ASPH OIS"
"F3.5–5.6","Zoom lens","F22","Micro Four Thirds","null","14–42 ","https://www.dpreview.com/products/panasonic/lenses/panasonic_14-42_3p5-5p6_ii","Jan 29, 2013","Panasonic","194.69 ","247.99","Panasonic Lumix G Vario 14-42mm F3.5-5.6 II ASPH Mega OIS"
"F3.5–5.6","Zoom lens","F22","Micro Four Thirds","null","12–60 ","https://www.dpreview.com/products/panasonic/lenses/panasonic_12-60_3p5-5p6_asph_ois","Feb 24, 2016","Panasonic","197.99 ","697.95","Panasonic Lumix G Vario 12-60mm F3.5-5.6 ASPH Power OIS"
"F2.8","Prime lens","F22","Micro Four Thirds","null","30 ","https://www.dpreview.com/products/panasonic/lenses/panasonic_30_2p8_macro","Feb 23, 2015","Panasonic","340.67","","Panasonic Lumix G Macro 30mm F2.8 ASPH Mega OIS"
"F3.5–5.6","Zoom lens","F22","Micro Four Thirds","null","14–42 ","https://www.dpreview.com/products/panasonic/lenses/panasonic_14-42_3p5-5p6","","Panasonic","199.97","","Panasonic Lumix G Vario 14-42mm F3.5-5.6 ASPH OIS"
"F4","Zoom lens","F22","Micro Four Thirds","https://www.dpreview.com/reviews/panasonic-7-14-4-o20","7–14 ","https://www.dpreview.com/products/panasonic/lenses/panasonic_7-14_4","","Panasonic","749.89 ","897.99","Panasonic Lumix G Vario 7-14mm F4 ASPH"
"F1.7","Prime lens","F22","Micro Four Thirds","null","25 ","https://www.dpreview.com/products/panasonic/lenses/panasonic_25_1p7_asph","","Panasonic","197.99 ","697.95","Panasonic Lumix G 25mm F1.7 ASPH"
"F2.5","Prime lens","F22","Micro Four Thirds","null","14 ","https://www.dpreview.com/products/panasonic/lenses/panasonic_14_2p5_ii","Sep 15, 2014","Panasonic","","","Panasonic Lumix G 14mm F2.5 II ASPH"
"F1.7","Prime lens","F16","Micro Four Thirds","null","20 ","https://www.dpreview.com/products/panasonic/lenses/panasonic_20_1p7_ii","Jun 27, 2013","Panasonic","267.99 ","297.99","Panasonic Lumix G 20mm F1.7 II ASPH"
"F1.7","Prime lens","F16","Micro Four Thirds","https://www.dpreview.com/reviews/panasonic-20-1p7-o20","20 ","https://www.dpreview.com/products/panasonic/lenses/panasonic_20_1p7","","Panasonic","391.86","","Panasonic Lumix G 20mm F1.7 ASPH"
"F3.5","Prime lens","F22","Micro Four Thirds","https://www.dpreview.com/reviews/panasonic-8-3p5-o20","8 ","https://www.dpreview.com/products/panasonic/lenses/panasonic_8_3p5","","Panasonic","614.95","","Panasonic Lumix G Fisheye 8mm F3.5"
"F1.4","Prime lens","F16","Micro Four Thirds","null","12 ","https://www.dpreview.com/products/panasonic/lenses/panasonic_12_1p4","Jun 15, 2016","Panasonic","1,297.99","","Panasonic Lumix G Leica DG Summilux 12mm F1.4 ASPH"
"F1.7","Prime lens","F22","Micro Four Thirds","null","43 ","https://www.dpreview.com/products/panasonic/lenses/panasonic_42p5_1p7","Feb 23, 2015","Panasonic","397.99","","Panasonic Lumix G 42.5mm F1.7 ASPH Power OIS"
"F12","Prime lens","F12","Micro Four Thirds","null","13 ","https://www.dpreview.com/products/panasonic/lenses/panasonic_12p5_12","Sep 21, 2010","Panasonic","137.58","","Panasonic Lumix G 12.5mm / F12"
"F2.5","Prime lens","F22","Micro Four Thirds","https://www.dpreview.com/reviews/panasonic-14-2p5-100-300-4-5p6","14 ","https://www.dpreview.com/products/panasonic/lenses/panasonic_14_2p5","Sep 21, 2010","Panasonic","198.80","","Panasonic Lumix G 14mm F2.5 ASPH"
"F2.8–22","Zoom lens","F4–22","Micro Four Thirds","null","8–18 ","https://www.dpreview.com/products/panasonic/lenses/panasonic_8-18_2p8-4p0_asph","","Panasonic","1,097.99","","Panasonic Leica DG Vario-Elmarit 8-18mm F2.8-4.0 ASPH"
"F1.7","Prime lens","F16","Micro Four Thirds","null","15 ","https://www.dpreview.com/products/panasonic/lenses/panasonic_15_1p7","Mar 24, 2014","Panasonic","597.99","","Panasonic Leica DG Summilux 15mm F1.7 ASPH"
"F2.8–4","Zoom lens","F22","Micro Four Thirds","null","12–60 ","https://www.dpreview.com/products/panasonic/lenses/panasonic_leica_dg_12-60_2p8-4p0_asph","","Panasonic","997.99","","Panasonic Leica DG Vario-Elmarit 12-60mm F2.8-4.0 ASPH Power OIS"
"F4–6.3","Zoom lens","F22","Micro Four Thirds","null","100–400 ","https://www.dpreview.com/products/panasonic/lenses/panasonic_100-400_4p0-6p3_asph","","Panasonic","1,797.99","","Panasonic Leica DG Vario-Elmar 100-400mm F4.0-6.3 ASPH Power OIS"
"F2.8–3.5","Zoom lens","F22","Four Thirds","null","14–50 ","https://www.dpreview.com/products/panasonic/lenses/panasonic_leica_14-50_2p8-3p5_ois","Feb 26, 2006","Panasonic","625.37","","Panasonic Leica D Vario-Elmarit 14-50mm F2.8-3.5 ASPH Mega OIS"
"F2.8","Prime lens","F22","Micro Four Thirds","https://www.dpreview.com/reviews/panasonic-45-2p8-o20","45 ","https://www.dpreview.com/products/panasonic/lenses/panasonic_45_2p8","","Panasonic","559.14 ","797.99","Panasonic Leica DG Macro-Elmarit 45mm F2.8 ASPH OIS"
"F2","Prime lens","F22","Four Thirds","null","150 ","https://www.dpreview.com/products/olympus/lenses/oly_150_2","Sep 27, 2004","Olympus","2,999.00","","Olympus Zuiko Digital ED 150mm 1:2.0"
"F1.4","Prime lens","F16","Micro Four Thirds","null","25 ","https://www.dpreview.com/products/panasonic/lenses/panasonic_25_1p4","Jun 13, 2011","Panasonic","597.99","","Panasonic Leica Summilux DG 25mm F1.4"
"F3.5–5.6","Zoom lens","F22","Four Thirds","null","14–150 ","https://www.dpreview.com/products/panasonic/lenses/panasonic_leica_14-150_3p5-5p6_ois","","Panasonic","1,007.24","","Panasonic Leica D Vario-Elmar 14-150mm F3.5-5.6 Asph Mega OIS"
"F1.4","Prime lens","F16","Four Thirds","null","25 ","https://www.dpreview.com/products/panasonic/lenses/panasonic_leica_25_1p4","","Panasonic","782.69","","Panasonic Leica D Summilux Asph 25mm F1.4"
"F4–5.6","Zoom lens","F22","Four Thirds","null","70–300 ","https://www.dpreview.com/products/olympus/lenses/oly_70-300_4-5p6","Jun 26, 2007","Olympus","","","Olympus Zuiko Digital ED 70-300mm 1:4.0-5.6"
"F2.8","Zoom lens","F22","Four Thirds","null","90–250 ","https://www.dpreview.com/products/olympus/lenses/oly_90-250_2p8","Feb 17, 2005","Olympus","","","Olympus Zuiko Digital ED 90-250mm 1:2.8"
"F1.2","Prime lens","F16","Micro Four Thirds","null","43 ","https://www.dpreview.com/products/panasonic/lenses/panasonic_42p5_1p2","","Panasonic","1,224.00 ","1,597.99","Panasonic Leica DG Nocticron 42.5mm F1.2 ASPH OIS"
"F3.8–5.6","Zoom lens","F22","Four Thirds","null","14–50 ","https://www.dpreview.com/products/panasonic/lenses/panasonic_leica_14-50_3p8-5p6_ois","Aug 30, 2007","Panasonic","316.09","","Panasonic Leica D Vario-Elmar 14-50mm F3.8-5.6 Mega OIS"
"F2.8–3.5","Zoom lens","F22","Four Thirds","null","50–200 ","https://www.dpreview.com/products/olympus/lenses/oly_50-200_2p8-3p5_swd","Oct 17, 2007","Olympus","1,100.00 ","1,199.00","Olympus Zuiko Digital ED 50-200mm 1:2.8-3.5 SWD"
"F4–5.6","Zoom lens","F22","Four Thirds","null","40–150 ","https://www.dpreview.com/products/olympus/lenses/oly_40-150_4-5p6","Sep 27, 2004","Olympus","279.00","","Olympus Zuiko Digital ED 40-150mm 1:4.0-5.6"
"F2","Prime lens","F22","Four Thirds","https://www.dpreview.com/reviews/olympus-50-2-o20","50 ","https://www.dpreview.com/products/olympus/lenses/olympus_50_2","Jun 24, 2003","Olympus","","","Olympus Zuiko Digital ED 50mm 1:2.0 Macro"
"F3.5–6.3","Zoom lens","F22","Four Thirds","null","18–180 ","https://www.dpreview.com/products/olympus/lenses/oly_18-180_3p5-6p3","Sep 26, 2005","Olympus","","","Olympus Zuiko Digital ED 18-180mm 1:3.5-6.3"
"F3.5–5.6","Zoom lens","F22","Four Thirds","https://www.dpreview.com/reviews/olympus-14-42-3p5-5p6-o20","14–42 ","https://www.dpreview.com/products/olympus/lenses/olympus_14-42_3p5-5p6","Sep 14, 2006","Olympus","","","Olympus Zuiko Digital ED 14-42mm 1:3.5-5.6"
"F2","Zoom lens","F22","Four Thirds","null","14–35 ","https://www.dpreview.com/products/olympus/lenses/oly_14-35_2_swd","Feb 17, 2005","Olympus","2,299.00","","Olympus Zuiko Digital ED 14-35mm 1:2.0 SWD"
"F2","Zoom lens","F22","Four Thirds","null","35–100 ","https://www.dpreview.com/products/olympus/lenses/oly_35-100_2","Feb 17, 2005","Olympus","2,499.00","","Olympus Zuiko Digital ED 35-100mm 1:2.0"
"F2.8–4","Zoom lens","F22","Four Thirds","https://www.dpreview.com/reviews/olympus-12-60-2p8-4-o20","12–60 ","https://www.dpreview.com/products/olympus/lenses/olympus_12-60_2p8-4","Oct 16, 2007","Olympus","999.00","","Olympus Zuiko Digital ED 12-60mm 1:2.8-4.0 SWD"
"F4–5.6","Zoom lens","F22","Four Thirds","https://www.dpreview.com/reviews/olympus-9-18-4-5p6-o20","9–18 ","https://www.dpreview.com/products/olympus/lenses/olympus_9-18_4-5p6","May 13, 2008","Olympus","","","Olympus Zuiko Digital ED 9-18mm 1:4.0-5.6"
"F3.5","Prime lens","F22","Four Thirds","null","35 ","https://www.dpreview.com/products/olympus/lenses/oly_35_3p5_macro","Sep 26, 2005","Olympus","217.16","","Olympus Zuiko Digital 35mm 1:3.5 Macro"
"F4","Zoom lens","F22","Four Thirds","null","7–14 ","https://www.dpreview.com/products/olympus/lenses/oly_7-14_4","Sep 27, 2004","Olympus","1,799.00","","Olympus Zuiko Digital ED 7-14mm 1:4.0"
"F2.8–3.5","Zoom lens","F22","Four Thirds","null","14–54 ","https://www.dpreview.com/products/olympus/lenses/oly_14-54_2p8-3p5","Jun 24, 2003","Olympus","489.00","","Olympus Zuiko Digital 14-54mm 1:2.8-3.5"
"F2.8","Prime lens","F22","Four Thirds","https://www.dpreview.com/reviews/olympus-25-2p8-o20","25 ","https://www.dpreview.com/products/olympus/lenses/olympus_25_2p8","","Olympus","299.00","","Olympus Zuiko Digital 25mm 1:2.8 Pancake"
"F3.5","Prime lens","F22","Four Thirds","null","8 ","https://www.dpreview.com/products/olympus/lenses/oly_8_3p5_fe","Jun 30, 2005","Olympus","649.00","","Olympus Zuiko Digital ED 8mm 1:3.5 Fisheye"
"","Teleconverter","","Four Thirds","null","","https://www.dpreview.com/products/olympus/lenses/oly_ec14_1p4x_tc","Jun 24, 2003","Olympus","","","Olympus Zuiko Digital 1.4x Teleconverter EC-14"
"F1.8","Prime lens","F22","Micro Four Thirds","https://www.dpreview.com/reviews/olympus-m-zuiko-75mm-f1-8","75 ","https://www.dpreview.com/products/olympus/lenses/olympus_m_75_1p8","","Olympus","899.00","","Olympus M.Zuiko Digital ED 75mm F1.8"
"F2.8–3.5","Zoom lens","F22","Four Thirds","null","14–54 ","https://www.dpreview.com/products/olympus/lenses/oly_14-54_2p8-3p5_ii","","Olympus","489.95","","Olympus Zuiko Digital 14-54mm 1:2.8-3.5 II"
"F2.8–3.5","Zoom lens","F22","Four Thirds","null","11–22 ","https://www.dpreview.com/products/olympus/lenses/oly_11-22_2p8-3p5","Jun 24, 2003","Olympus","705.00","","Olympus Zuiko Digital 11-22mm 1:2.8-3.5"
"F2.8","Prime lens","F22","Four Thirds","null","300 ","https://www.dpreview.com/products/olympus/lenses/oly_300_2p8","Jun 24, 2003","Olympus","6,999.00","","Olympus Zuiko Digital 300mm 1:2.8"
"F4.8–6.7","Zoom lens","F22","Micro Four Thirds","null","75–300 ","https://www.dpreview.com/products/olympus/lenses/oly_m_75-300_4p8-6p7","Aug 31, 2010","Olympus","","","Olympus M.Zuiko Digital ED 75-300mm 1:4.8-6.7"
"F2.8","Prime lens","F22","Micro Four Thirds","null","60 ","https://www.dpreview.com/products/olympus/lenses/olympus_m_60_2p8","","Olympus","499.00 ","507.99","Olympus M.Zuiko Digital ED 60mm 1:2.8 Macro"
"F3.5–5.6","Zoom lens","F22","Four Thirds","null","18–45 ","https://www.dpreview.com/products/olympus/lenses/oly_17p5-45_3p5-5p6","Sep 26, 2005","Olympus","","","Olympus Zuiko Digital 17.5-45mm 1:3.5-5.6"
"","Teleconverter","","Four Thirds","null","","https://www.dpreview.com/products/olympus/lenses/oly_ec20_2p0x_tc","Jun 24, 2003","Olympus","240.72","","Olympus Zuiko Digital 2.0x Teleconverter EC-20"
"F2.8","Zoom lens","F22","Micro Four Thirds","null","40–150 ","https://www.dpreview.com/products/olympus/lenses/olympus_m_40-150_2p8_pro","Sep 15, 2014","Olympus","1,399.00","","Olympus M.Zuiko Digital ED 40-150mm F2.8 Pro"
"F1.2","Prime lens","F16","Micro Four Thirds","null","45 ","https://www.dpreview.com/products/olympus/lenses/olympus_45_1p2_pro","","Olympus","1,199.00","","Olympus M.Zuiko Digital ED 45mm F1.2 Pro"
"F4.8–6.7","Zoom lens","F22","Micro Four Thirds","null","75–300 ","https://www.dpreview.com/products/olympus/lenses/oly_m_75-300_4p8-6p7_ii","Jan 30, 2013","Olympus","449.00 ","457.99","Olympus M.Zuiko ED 75-300mm 1:4.8-6.7 II"
"F4–5.6","Zoom lens","F22","Micro Four Thirds","null","40–150 ","https://www.dpreview.com/products/olympus/lenses/oly_m_40-150_4-5p6_r","Jun 30, 2011","Olympus","124.00 ","133.98","Olympus M.Zuiko Digital ED 40-150mm 1:4-5.6 R"
"F4–5.6","Zoom lens","F22","Micro Four Thirds","null","14–150 ","https://www.dpreview.com/products/olympus/lenses/olympus_m_14-150_4-5p6_ii","","Olympus","524.00 ","607.99","Olympus M.Zuiko Digital ED 14-150mm F4-5.6 II"
"F4–5.6","Zoom lens","F22","Micro Four Thirds","https://www.dpreview.com/reviews/olympus-m-14-150-4-5p6-o20","14–150 ","https://www.dpreview.com/products/olympus/lenses/olympus_m_14-150_4-5p6","","Olympus","449.00","","Olympus M.Zuiko Digital ED 14-150mm 1:4-5.6"
"F1.2","Prime lens","F16","Micro Four Thirds","null","25 ","https://www.dpreview.com/products/olympus/lenses/olympus_25_1p2_pro","Sep 19, 2016","Olympus","1,199.00 ","1,207.99","Olympus M.Zuiko Digital ED 25mm F1.2 Pro"
"F3.5","Prime lens","F22","Micro Four Thirds","null","30 ","https://www.dpreview.com/products/olympus/lenses/oly_30_3p5_macro","Sep 19, 2016","Olympus","199.00 ","207.99","Olympus M.Zuiko Digital ED 30mm F3.5 Macro"
"F3.5–5.6","Zoom lens","F22","Micro Four Thirds","null","14–42 ","https://www.dpreview.com/products/olympus/lenses/olympus_m_14-42_3p5-5p6","Jun 16, 2009","Olympus","","","Olympus M.Zuiko Digital ED 14-42mm 1:3.5-5.6"
"F4–5.6","Zoom lens","F22","Micro Four Thirds","null","40–150 ","https://www.dpreview.com/products/olympus/lenses/oly_m_40-150_4-5p6","Aug 31, 2010","Olympus","279.00","","Olympus M.Zuiko Digital ED 40-150mm 1:4-5.6"
"F1.2","Prime lens","F16","Micro Four Thirds","null","17 ","https://www.dpreview.com/products/olympus/lenses/olympus_17_1p2_pro","","Olympus","1,199.00","","Olympus M.Zuiko Digital ED 17mm F1.2 Pro"
"F3.5–6.3","Zoom lens","F22","Micro Four Thirds","null","12–50 ","https://www.dpreview.com/products/olympus/lenses/olympus_m_12-50_3p5-6p3","Dec 14, 2011","Olympus","499.00","","Olympus M.Zuiko Digital ED 12-50mm 1:3.5-6.3 EZ"
"F4–5.6","Zoom lens","F22","Micro Four Thirds","https://www.dpreview.com/reviews/olympus-m-9-18-4-5p6-o20","9–18 ","https://www.dpreview.com/products/olympus/lenses/olympus_m_9-18_4-5p6","","Olympus","649.00","","Olympus M.Zuiko Digital ED 9-18mm F4.0-5.6"
"F3.5–5.6","Zoom lens","F22","Micro Four Thirds","null","14–42 ","https://www.dpreview.com/products/olympus/lenses/olympus_m_14-42_3p5-5p6_ez","Jan 29, 2014","Olympus","249.00 ","307.99","Olympus M.Zuiko Digital ED 14-42mm F3.5-5.6 EZ"
"F4","Zoom lens","F22","Micro Four Thirds","null","12–100 ","https://www.dpreview.com/products/olympus/lenses/olympus_12-100_4p0_is_pro","Sep 19, 2016","Olympus","1,299.00","","Olympus M.Zuiko Digital ED 12-100mm F4.0 IS Pro"
"F1.8","Prime lens","F22","Micro Four Thirds","null","8 ","https://www.dpreview.com/products/olympus/lenses/oly_8_2p8_fisheye","May 12, 2015","Olympus","899.00 ","907.99","Olympus M.Zuiko Digital ED 8mm F1.8 Fisheye PRO"
"F2","Prime lens","F22","Micro Four Thirds","null","12 ","https://www.dpreview.com/products/olympus/lenses/olympus_m_12_2","Jun 30, 2011","Olympus","799.00 ","807.99","Olympus M.Zuiko Digital ED 12mm 1:2"
"F2.8","Zoom lens","F22","Micro Four Thirds","null","12–40 ","https://www.dpreview.com/products/olympus/lenses/olympus_m_12-40_2p8","Sep 10, 2013","Olympus","899.00 ","907.99","Olympus M.Zuiko Digital ED 12-40mm 1:2.8 PRO"
"F2.8","Prime lens","F22","Micro Four Thirds","null","17 ","https://www.dpreview.com/products/olympus/lenses/olympus_m_17_2p8","Jun 16, 2009","Olympus","299.00","","Olympus M.Zuiko Digital 17mm 1:2.8 Pancake"
"F1.8","Prime lens","F22","Micro Four Thirds","null","45 ","https://www.dpreview.com/products/olympus/lenses/olympus_m_45_1p8","Jun 30, 2011","Olympus","299.00 ","407.99","Olympus M.Zuiko Digital 45mm F1.8"
"F2.8","Zoom lens","F22","Micro Four Thirds","null","7–14 ","https://www.dpreview.com/products/olympus/lenses/oly_7-14_2p8","May 12, 2015","Olympus","1,239.00 ","1,307.99","Olympus M.Zuiko Digital ED 7-14mm F2.8 PRO"
"F8","Prime lens","F8","Micro Four Thirds","https://www.dpreview.com/reviews/olympus-bcl-15mm-f8","15 ","https://www.dpreview.com/products/olympus/lenses/oly_m_15_8","Sep 17, 2012","Olympus","45.20","","Olympus Body Cap Lens 15mm F8.0"
"F3.5–5.6","Zoom lens","F22","Micro Four Thirds","null","14–42 ","https://www.dpreview.com/products/olympus/lenses/olympus_m_14-42_3p5-5p6_ii_r","Jun 30, 2011","Olympus","299.00","","Olympus M.Zuiko Digital 14-42mm 1:3.5-5.6 II R"
"F2.8","Prime lens","F32","Nikon F (FX)","null","45 ","https://www.dpreview.com/products/nikon/lenses/nikon_45_2p8d_pc-e","","Nikon","2,046.95","","Nikon PC-E Nikkor 45mm f/2.8D ED"
"F8","Prime lens","F8","Micro Four Thirds","null","9 ","https://www.dpreview.com/products/olympus/lenses/olympus_m_9_8","Jan 29, 2014","Olympus","98.72","","Olympus 9mm F8 Fish-Eye Body Cap Lens"
"F3.5","Prime lens","F32","Nikon F (FX)","null","24 ","https://www.dpreview.com/products/nikon/lenses/nikon_24_3p5d_pc-e","Jan 29, 2008","Nikon","2,196.95","","Nikon PC-E Nikkor 24mm f/3.5D ED"
"F2.8","Prime lens","F32","Nikon F (FX)","null","85 ","https://www.dpreview.com/products/nikon/lenses/nikon_85_2p8d_pc-e","","Nikon","1,976.95","","Nikon PC-E Micro-Nikkor 85mm f/2.8D"
"F4","Prime lens","F22","Micro Four Thirds","null","300 ","https://www.dpreview.com/products/olympus/lenses/olympus_m_300_4_is_pro","","Olympus","2,499.00 ","2,507.99","Olympus M.Zuiko Digital 300mm F4 IS Pro"
"","Teleconverter","","Nikon F (FX)","null","","https://www.dpreview.com/products/nikon/lenses/nikon_tc_20e_iii","Dec 10, 2009","Nikon","496.95","","Nikon AF-S Teleconverter TC-20E III"
"F4","Prime lens","F32","Nikon F (FX)","null","19 ","https://www.dpreview.com/products/nikon/lenses/nikon_pc_4p0e_ed","Oct 19, 2016","Nikon","3,396.95","","Nikon PC Nikkor 19mm F4E ED"
"","Teleconverter","","Nikon F (FX)","null","","https://www.dpreview.com/products/nikon/lenses/nikon_tc_20e_ii","","Nikon","350.00","","Nikon AF-S Teleconverter TC-20E II"
"","Teleconverter","","Nikon F (DX)","null","","https://www.dpreview.com/products/nikon/lenses/nikon_tc_14e_iii","May 14, 2014","Nikon","496.95","","Nikon AF-S Teleconverter TC-14E III"
"","Teleconverter","","Nikon F (FX)","null","","https://www.dpreview.com/products/nikon/lenses/nikon_tc_17e_ii","May 28, 2004","Nikon","396.95","","Nikon AF-S Teleconverter TC-17E II"
"F1.8","Prime lens","F22","Micro Four Thirds","null","25 ","https://www.dpreview.com/products/olympus/lenses/olympus_m_25_1p8","Jan 29, 2014","Olympus","299.00 ","307.99","Olympus M.Zuiko Digital 25mm F1.8"
"F3.5–5.6","Zoom lens","F22","Micro Four Thirds","null","14–42 ","https://www.dpreview.com/products/olympus/lenses/olympus_m_14-42_3p5-5p6_ii","Nov 16, 2010","Olympus","","","Olympus M.Zuiko Digital 14-42mm 1:3.5-5.6 II"
"F1.8","Prime lens","F22","Micro Four Thirds","null","17 ","https://www.dpreview.com/products/olympus/lenses/olympus_m_17_1p8","Jun 15, 2012","Olympus","499.00 ","507.99","Olympus M.Zuiko Digital 17mm 1:1.8"
"F4","Prime lens","F22","Nikon F (FX)","null","600 ","https://www.dpreview.com/products/nikon/lenses/nikon_600_4d_ii","","Nikon","","","Nikon AF-S Nikkor 600mm f/4D ED-IF II"
"F3.5–29","Zoom lens","F4.5–29","Nikon F (FX)","null","8–15 ","https://www.dpreview.com/products/nikon/lenses/nikon_8-15_3p5-4p5e_ed","","Nikon","1,246.95","","Nikon AF-S Nikkor Fisheye 8-15mm F3.5-4.5E ED"
"F5.6","Prime lens","F32","Nikon F (FX)","null","800 ","https://www.dpreview.com/products/nikon/lenses/nikon_800_5p6","Jan 29, 2013","Nikon","15,556.25 ","16,296.95","Nikon AF-S Nikkor 800mm f/5.6E FL ED VR"
"","Teleconverter","","Nikon F (FX)","null","","https://www.dpreview.com/products/nikon/lenses/nikon_tc_14e_ii","","Nikon","","","Nikon AF-S Teleconverter TC-14E II"
"F4","Prime lens","F22","Nikon F (FX)","null","600 ","https://www.dpreview.com/products/nikon/lenses/nikon_600_4g_vr","Aug 23, 2007","Nikon","9,575.00","","Nikon AF-S Nikkor 600mm f/4G ED VR"
"F4","Prime lens","F22","Nikon F (FX)","null","500 ","https://www.dpreview.com/products/nikon/lenses/nikon_500_4g_vr","Aug 23, 2007","Nikon","8,399.00","","Nikon AF-S Nikkor 500mm f/4G ED VR"
"F4","Prime lens","F22","Nikon F (FX)","null","500 ","https://www.dpreview.com/products/nikon/lenses/nikon_500_4d_ii","","Nikon","","","Nikon AF-S Nikkor 500mm f/4D ED-IF II"
"F4","Prime lens","F22","Nikon F (FX)","null","600 ","https://www.dpreview.com/products/nikon/lenses/nikon_600_4e_fl_ed_vr","","Nikon","12,296.95","","Nikon AF-S Nikkor 600mm F4E FL ED VR"
"F2.8","Prime lens","F22","Nikon F (FX)","null","400 ","https://www.dpreview.com/products/nikon/lenses/nikon_400_2p8g_vr","Aug 23, 2007","Nikon","","","Nikon AF-S Nikkor 400mm f/2.8G ED VR II"
"F2.8","Prime lens","F22","Nikon F (FX)","null","400 ","https://www.dpreview.com/products/nikon/lenses/nikon_400_2p8d_ii","","Nikon","","","Nikon AF-S Nikkor 400mm f/2.8D ED-IF II"
"F4","Prime lens","F22","Nikon F (FX)","null","500 ","https://www.dpreview.com/products/nikon/lenses/nikon_500_4e_fl_ed_vr","","Nikon","10,296.95","","Nikon AF-S Nikkor 500mm F4E FL ED VR"
"F2.8","Prime lens","F22","Nikon F (FX)","null","400 ","https://www.dpreview.com/products/nikon/lenses/nikon_400_2p8e_vr","May 14, 2014","Nikon","11,196.95","","Nikon AF-S Nikkor 400mm f/2.8E FL ED VR"
"F4","Prime lens","F32","Nikon F (FX)","null","300 ","https://www.dpreview.com/products/nikon/lenses/nikon_300_4d_if","Aug 29, 2000","Nikon","1,200.00","","Nikon AF-S Nikkor 300mm f/4D ED-IF"
"F2.8","Prime lens","F22","Nikon F (FX)","null","300 ","https://www.dpreview.com/products/nikon/lenses/nikon_300_2p8_vr","Sep 16, 2004","Nikon","5,854.73","","Nikon AF-S Nikkor 300mm f/2.8G ED-IF VR"
"F2","Prime lens","F22","Nikon F (FX)","null","200 ","https://www.dpreview.com/products/nikon/lenses/nikon_200_2g_vr","May 28, 2004","Nikon","5,450.00","","Nikon AF-S Nikkor 200mm f/2G ED-IF VR"
"F2","Prime lens","F22","Nikon F (FX)","null","200 ","https://www.dpreview.com/products/nikon/lenses/nikon_200_2g_ed_vrii_afs","Sep 15, 2010","Nikon","5,696.95","","Nikon AF-S Nikkor 200mm f/2G ED VR II"
"F2.8","Prime lens","F22","Nikon F (FX)","null","300 ","https://www.dpreview.com/products/nikon/lenses/nikon_300_2p8g_vrii","Dec 10, 2009","Nikon","","","Nikon AF-S Nikkor 300mm f/2.8G ED VR II"
"F5.6","Zoom lens","F32","Nikon F (FX)","null","200–500 ","https://www.dpreview.com/products/nikon/lenses/nikon_200-500_5p6e_ed_vr","","Nikon","1,396.95","","Nikon AF-S Nikkor 200-500mm F5.6E ED VR"
"F1.4","Prime lens","F16","Nikon F (FX)","null","85 ","https://www.dpreview.com/products/nikon/lenses/nikkor_85_1p4g","Aug 19, 2010","Nikon","1,596.95","","Nikon AF-S Nikkor 85mm f/1.4G"
"F4","Zoom lens","F32","Nikon F (FX)","null","200–400 ","https://www.dpreview.com/products/nikon/lenses/nikon_200-400_4g_vrii","","Nikon","6,996.95","","Nikon AF-S Nikkor 200-400mm f/4G ED VR II"
"F1.4","Prime lens","F16","Nikon F (FX)","null","105 ","https://www.dpreview.com/products/nikon/lenses/nikon_105_1p4_e_ed","Jul 27, 2016","Nikon","2,196.95","","Nikon AF-S Nikkor 105mm F1.4E ED"
"F4","Zoom lens","F32","Nikon F (FX)","null","200–400 ","https://www.dpreview.com/products/nikon/lenses/nikon_200-400_4g_vr","Jul 22, 2003","Nikon","","","Nikon AF-S Nikkor 200-400mm f/4G ED-IF VR"
"F1.8","Prime lens","F16","Nikon F (FX)","null","85 ","https://www.dpreview.com/products/nikon/lenses/nikon_85_1p8g","","Nikon","476.95 ","576.90","Nikon AF-S Nikkor 85mm f/1.8G"
"F4.5–5.6","Zoom lens","F22–32","Nikon F (FX)","null","70–300 ","https://www.dpreview.com/products/nikon/lenses/nikon_70-300_4p5-5p6g_vr","","Nikon","169.95 ","529.00","Nikon AF-S Nikkor 70-300mm f/4.5-5.6G VR"
